sku_id,part_name,category,aircraft_type,unit_cost_usd,lead_time_days,month_index,monthly_demand,annual_demand,holding_cost_pct,reorder_cost_usd,safety_stock,eoq,abc_class,aog_critical
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,1,4,48,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,2,6,72,0.25,1500.0,3,2,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,3,5,60,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,4,5,60,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,5,5,60,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,6,3,36,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,7,7,84,0.25,1500.0,3,2,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,8,4,48,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,9,0,0,0.25,1500.0,3,1,C,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,10,6,72,0.25,1500.0,3,2,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,11,5,60,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,12,3,36,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,13,4,48,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,14,1,12,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,15,5,60,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,16,2,24,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,17,2,24,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,18,2,24,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,19,4,48,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,20,2,24,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,21,8,96,0.25,1500.0,3,2,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,22,3,36,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,23,4,48,0.25,1500.0,3,1,A,True
MRO-0001,Engine Component [B787-9] #1,Engine Component,B787-9,194619.23,69,24,5,60,0.25,1500.0,3,1,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,1,2,24,0.25,1500.0,2,1,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,2,6,72,0.25,1500.0,2,2,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,3,7,84,0.25,1500.0,2,3,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,4,5,60,0.25,1500.0,2,2,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,5,6,72,0.25,1500.0,2,2,A,True
MRO-0002,Engine Component [B777-300ER] #2,Engine Component,B777-300ER,106872.81,33,6,6,72,0.25,1500.0,2,2,A,True
